,Description,Score,sentiment
1523,"Completing every job with ruthless accuracy; Train Heartnet is an infamous assassin with no regard for human life. Donning the moniker ""Black Cat"" in the underground world; the elite killer works for the powerful secret organization known only as Chronos.

One gloomy night; the blasé gunman stumbles upon Saya Minatsuki; an enigmatic bounty hunter; and soon develops an odd friendship with her. Influenced by Saya's positive outlook on life; Train begins to rethink his life. Deciding to abandon his role as the Black Cat; he instead opts to head down a virtuous path as an honest bounty hunter. However; Chronos—and particularly Creed Diskenth; Train's possessive underling—is not impressed with Train's sudden change of heart and vows to resort to extreme measures in order to bring back the emissary of bad luck.

This assassin turned ""stray cat"" can only wander so far before the deafening sound of gunfire rings out.

 ",7.49,0.0
1522,"Aoki Densetsu Shoot! (Legendary Blue Shot!) or also known as just ""Shoot!""; is the story of Toshihiko Tanaka; Kenji Shiraishi; and Kazuhiro Hiramatsu. Three high school freshmen who have become best friends during their junior high years while playing soccer together. There they were known as the Kakenishi golden trio for their role in making Kakenishi Junior High's soccer team into a force to be reckoned with. After junior high; all of them decided to go to the same high school; Kakegawa High; a school only founded a year before; because of their star soccer player; Yoshiharu Kubo; whom they had idolized.

This young man led Kakegawa High Soccer Club to the best 8 of their prefecture in their first ever appearance with a freshmen only team almost single-handedly. He refuses offers from a number of foreign professional soccer clubs so he can stay at Kake-High to lead them to the All-Japan High School Championship. As the three of them start playing soccer for Kake-High; they experience hardships; romance; and losses on their road to becoming the best Japanese high school soccer team—a team of legends.

 ",7.49,0.0
1526,"After discovering the face of their true enemy—someone who is related to Akito and responsible for the Geass placed upon him—W-0 attempts to return to their base at Castle Weisswolf. However; stranded in Warsaw due to a complication involving their military identification; they are forced to accept the help of local gypsies; allowing the squad to take some time to deepen their bonds.

Meanwhile; Britannian advisor Julius Kingsley and his guard Suzaku Kururugi begin working together with the Knights of St. Michael in order to crush the European resistance once and for all; armed with the destructive power of a giant weapon known as the Ark Fleet.

 ",7.49,0.0
1534,Recap OVA of Love Live! School Idol Project 2nd. ,7.49,0.0
1530,"14-year-old Kazami Hayato is the youngest driver of Cyber Formula; a Grand Prix in which each vehicle is equipped with computers to aid in racing. With the help of Asurada; the most advanced cybernavigation system; and team Sugo; Hayato races to become the winner of the 10th Cyber Formula Grand Prix. Along the way; Hayato will have to learn what it truly means to be a racer and that victory cannot be achieved simply by driving the best machine. In addition; Kazami will have to gain the respect of the veteran racers; thwart those who attempt to steal Asurada; and participate in races outside of Cyber Formula.

 ",7.49,0.0
1536,Minami-ke OVA bundled with the 10th volume of the manga.,7.49,0.0
1535,Third grader Takamachi Nanoha stumbled upon an injured talking ferret after hearing his telepathic cries for help. The ferret turned out to be Yuuno; an archeologist and mage from another world who had accidentally scattered the dangerous Jewel Seeds throughout Earth. Without the strength to collect the Jewel Seeds; Yuuno had resumed a ferret form and needed someone else to take on the task for him. He gave a red jewel to Nanoha explaining to her with this she could transform and use magic to combat the monsters that threatened them due to the Jewel Seeds. But the monsters are the least of their worries; as Yuuno and Nanoha are not the only ones out to collect the Jewel Seeds.,7.49,0.0
1547,Based on the Korean Drama of the same name; Yoo Jin falls in love with Joon Sang as a young girl. After losing him in an accident; she decides to marry her childhood friend. However; Yoo Jin meets someone looking exactly like her lost love; putting her in a bind.  The program featured 23 members of the original Korean cast voicing the characters and was broadcast with Japanese subtitles.,7.49,0.0
1546,"In a dystopian future; detective Shinjuurou Yuuki—known by some as the ""Defeated Detective""—solves mysteries throughout Tokyo. Aided by his odd associate Inga; Shinjuurou's insight and ingenuity in cracking cases; particularly homicides; lead to numerous mysteries solved and culprits caught. However; his partner seems to have some other; more sinister intentions for the people they catch; and the truth of the assistant's identity and motivation is shrouded in secrecy.

 ",7.49,0.0
1545,"Living under the same roof with the girl he has a crush on should be a dream for Shinichirou Nakagami; but the reality is closer to a nightmare. At school; Hiromi is bright; academically successful; athletic; and popular. But at home; Hiromi is a completely different person; she's cold; distant; and encased in the protective shell she's erected around herself after a painful childhood.

At school; a strange girl named Isurugi Noe suddenly takes an interest in Shinichirou. Noe loves the school's chickens; especially Raigomaru; who she's convinced can fly. Thus begins a strange relationship where Shinichirou helps Noe resolve her problems; even as he tries to figure out his own feelings about Noe; Hiromi; and his childhood friend; Andou Aiko. All the while Shinichirou is also trying to find the key to unlock Hiromi's heart; and to finish the children's picture book he's been writing. Surprisingly; it's Noe who proves critical to both... ",7.49,0.0
1544,"This story follows a boy named Quon and his friends; who are ""Attractors."" Attractors are human beings who have awakened and have supernatural powers. Quon is determined to save them all. But a secret organization is hunting them...",7.49,0.0
1543,Extra episode in the 7th Blu-ray and DVD volumes.,7.49,0.0
1549,"Kai; a young middle schooler; lives in Hinashi Town; a lonely fishing village; with his father and his grandfather; a sun-umbrella maker. He used to live in Tokyo; but after his parents divorced he moved back to his parent's home town. Kai has trouble telling his parents the complicated feelings he has for them; and he's lonely and pessimistic about his school life. One of his joys is uploading songs he writes to the internet.

One day; his classmates Kunio and Yuuho invite him to join their band; ""SEIRÈN."" As he reluctantly follows them to Merfolk Island; their practice spot; they meet Lu; the mermaid girl. Lu sings merrily and dances innocently. As Kai begins to spend time with her; he starts to be able to say what it is that he's really thinking.

But since ancient times; the people of Hinashi Town have thought that mermaids brought disaster. Something happens that puts a huge rift between Lu and the townspeople. And then; the town is in danger. Will Kai's cry for the heart be able to save the town?

 ",7.49,0.0
1541,"The story takes place before WWII at a photo studio on top of a hill. Many people visit this studio to have their photos taken. One day; a couple comes; but the wife is so shy that she always lowers her head. The owner of the studio tries all kinds of tricks to get her to smile and eventually succeeds.

One year later; the couple comes again; but this time they bring their daughter along. She always looks grumpy; and again; the owner has to try everything to get her to smile. Thus starts a long-running relationship between the girl and the owner; and time passes to years and then decades...

(Source: MAL)",7.49,0.0
1540,"Following the events of Senki Zesshou Symphogear G; Hibiki Tachibana; Tsubasa Kazanari; and Chris Yukine continue to operate under the command of Genjuurou Kazanari. Meanwhile; Maria Cadenzavna Eve; Kirika Akatsuki; and Shirabe Tsukuyomi are taken into protective custody. With peace restored; everyone returns to their daily lives; however; the appearance of the alchemist Carol Malus Dienheim and her subordinates—the ""Autoscorers""—threatens to draw everyone back into a conflict. 

Armed with a strange and magical power; Carol wishes to initiate the apocalypse and bring destruction to the world... and she is willing to sacrifice everything to do so. Against this mysterious new foe; the six Symphogear wielders must rise to the challenge in order to protect what they hold dear. However; will Carol and her Autoscorers prove to be too much to handle in this fight to protect the fate of the world?

 ",7.49,0.0
1539,"A theatrical anime movie of the original story of the epic Indian classical ""Ramayana"" and a joint production between Japan and India. Prince Rama; one of the four Princes of Ayodhya; will be expelled from the palace through a conspiracy. Rama is banished to the forest for 14 years. A girl named Sita and Lakshman; Rama's brother; go with him into the forest. Ravana; the King of Demons; falls in love with Sita and kidnaps her. In order to save his love; Rama goes to Lanka with the help of an army of monkeys and friends of the forest. 

A feature film based on a story of true love; friendship; and trust; this anime is about 2 hours and 15 minutes long; with musical elements from Indian cinemas in between. ",7.49,0.0
1538,"Shinichi Kanou is a shut-in otaku with a vast knowledge of anime; manga; and video games. One day; after applying for a job in hopes of escaping his secluded lifestyle; he is kidnapped and transported to the Eldant Empire—a fantasy world filled with elves; dragons; and dwarves. Trapped in this strange land; Shinichi is given an unlikely task by the Japanese government: to spread otaku culture across the realm by becoming an ""Otaku Missionary.""

To accomplish his mission; Shinichi has the full support of the Japanese government; as well as the half-elf maid Myucel and Princess Petralka of the Eldant Empire. Together with this ragtag bunch; he will overcome the obstacles of politics; social classes; and ethnic discrimination to promote the ways of the otaku in this holy land.

 ",7.49,0.0
1537,"At a young age; Nitaroh is stricken with an illness that leaves him blind. He inherits the shamisen once used by his mother and is taught its basics by a blind traveling shamisen player. In time; with the help of friends old and new; he walks the paths that leads to his ultimate fate—that of founder of the Tsugaru style of shamisen playing.

 ",7.49,0.0
1542,"Youka is a young 13-year-old boy. One day; his Uncle; Kakusei; has him follow in his steps of martial arts and has him study the art of Zenshinkyou. After being mistreated; Youka runs away Zenshinkyou. He stumbles on a Forbidden Tomb where he finds a beautiful young woman; by the name of Shouryuujo. After a short time; Youka is eventually accepted by Shouryuujo to study the techniques of the Koboha under her; and thus begins their adventure through martial arts and love.

 ",7.49,0.0
1502,"Umaru Doma is a model student who has a hidden side: when she gets home each day; she puts on her hamster hoodie and turns into a sluggish otaku fond of junk food. As Umaru continues these daily antics; the friendship between her and her classmates—Nana Ebina; Kirie Motoba; and Sylphinford Tachibana—deepens; and more and more interesting events begin to unfold.

Of course; these events give rise to numerous questions. What did Nana ask of Umaru's brother Taihei? Who is the mysterious girl with the diamond hairpin? And most important of all: why does this girl seem to know Umaru? These questions and more will be answered in Himouto! Umaru-chan R!

 ",7.5,0.0
1501,"The year is 2071. Humanity has been pushed to the brink of extinction following the emergence of man-eating monsters called ""Aragami"" that boast an immunity to conventional weaponry. They ravaged the land; consuming almost everything in their path and leaving nothing in their wake. To combat them; an organization named Fenrir was formed as a last-ditch effort to save humanity through the use of ""God Eaters""—special humans infused with Oracle cells; allowing them to wield the God Arc; the only known weapon capable of killing an Aragami. One such God Eater is Lenka Utsugi; a New-Type whose God Arc takes the form of both blade and gun.

Now; as one of Fenrir's greatest weapons; Lenka must master his God Arc if he is to fulfill his desire of wiping out the Aragami once and for all. The monsters continue to be born en masse while the remnants of humanity struggle to survive the night. Only God Eaters stand between the Aragami and complete and total annihilation of the human race.

 ",7.5,0.0
1500,"In Garo: Honoo no Kokuin; Makai Knights and Alchemists; those who are able to keep supernatural enemies at bay; are feared and hated in the kingdom of Valiante. Encouraging this fear is the king’s trusted advisor; Mendoza; who convinces him to launch an all-out purge. Those of Makai blood are hunted and imprisoned or burned at the stake for so-called witchcraft. However; a dark omen is cast over Valiante when the execution of the last “witch” ends in the birth of her child who is saved from the flames by his father; a Makai Knight.

German spirits the baby Leon away from Valiante and raises him as a Makai Knight of the Garo armor. Now; they have been recalled to Valiante by the ever-increasing swarm of Horrors preying on unsuspecting civilians. With no Makai Knights left to defend them; the people are desperate. In answer to this desperation; Valiante’s Prince Alfonso sets out for help. How will these two sides clash? Will Leon and German be able to save their homeland?",7.5,0.0
1499,"The Z Warriors discover an unopenable music box and are told to open it with the dragon balls. The contents turn out to be a warrior named Tapion who had sealed himself inside along with a monster called Hildegarn. Goku must now perfect a new technique to defeat the evil monster. 

 ",7.5,0.0
1498,"Diana invites Kogorou and Ran to London; but since Conan cannot travel with his invented name; Ai gives him a temporary antidote; letting him travel as Kudou Shin'ichi. Together with Professor Agasa they are on a plane to London.

Back in Japan; Ai now lives with Ayumi. Near their apartment; a suspicious man clothed in black named Kurokawa Youji has been trying to track down and now has found Ai. Shortly after Mitsuhiko notices a picture in a magazine of a foreign actress named Grace Aihara; who looks exactly like Ai; Conan calls; ominously instructing Mitsuhiko to keep Ai away from the Professor's house. And so; Mitsuhiko and Genta go about trying to protect Ai...

(Source: foo2)",7.5,0.0
1495,"Short episode entitled ""A Miracle Of Us Being Able To Meet Again""; which can be also considered as ""Aria the Natural"" episode 0.",7.5,0.0
1496,"As college entrance examinations draw near; two students living completely different lives decide to enroll in Z-Kai; a correspondence education service. Balancing their studies with their daily lives; the two diligently work towards their goal; unaware of how much they share in common. Will their hard work pay off and bring about the success they desire?

 ",7.5,0.0
1494,"By 2039; global warming had caused sea levels to rise and large amount of territory to be lost. As though in response; a mysterious group of warships clad in mist; ""the Fleet of Mist;"" appeared in every corner of the ocean; and began attacking human ships. In spite of humanity mustering all their strength; they were utterly defeated by the Mist's overwhelming force. All of humanity's trade routes were blockaded by the Fleet of Mist; their political economy was destroyed; and the human race was steadily beaten down. Seven years later; the Fleet of Mist's submarine I-401 appears before cadet Gunzo Chihaya. The humanoid life form that pilots the sub; who should be their enemy; is instead offering her services to mankind.

 ",7.5,0.0
1493,"Angel Densetsu is a story about Seiichirou Kitano; a kind and naive boy with the heart of an angel; but the sinister looks of a devil. This causes many misunderstandings; leading people to assume that he is a villain or heroin addict; and results in a career as the head thug; or ""school guardian"" at his new school.

 ",7.5,0.0
1492,"After an interplanetary war at the beginning of the 21st century; planet Earth has been left in ruins; with much of its ecosystem completely destroyed. Because it was no longer possible to live a normal life on this planet; the inhabitants are forced to move on to other planets where life will; hopefully; be more comfortable.

The Deep Galactic Trade Organization; a totalitarian government that affects many of the newly inhabited planets; has somehow come to the conclusion that music is a source of evil; and that it must be banned and destroyed for good. The talent group AKB0048 is soon formed; based on the original AKB48 members that once lived on Earth. Even though their music is now considered universally illegal; they make it their mission to bring their music back to life by travelling from one planet to another and holding as many concerts as they possibly can. They must undergo a whole new set of training methods in order to become the best that they can possibly be; while also avoiding the constant danger of being arrested because of their music. Join interplanetary popstars AKB0048 as they try to save the world－with music!",7.5,0.0
1503,"Based on an illustration book by Naka Fukamachi. The anime offers heartwarming peeks at the lives of close couples and families.

 ",7.5,0.0
1497,"The stage is set at near future. Okamura Aya; also known as ""Aachan""; started to live by herself as she started a new job after graduation. Her mother needed to go overseas to work as a doctor; so now only her father and a cat; Mii-san; live in a Proud apartment. Since Aachan moved out; her father has been trying to reach out to her but somehow there is an awkward gap between the two. And the cat Mii-san; which Aachan has kept since she was a child; is getting old... One night; Aachan came back from a tiring day and threw herself on the bed. She closed her eyes and remembered the happy days she spent with her parents and when Mii-san came to comfort her when she got lonely after her mother left.... And then the phone rang...

",7.5,0.0
1504,"The world of the humans and the world of the demons (youkai) have overlapped one another; leaving humans to walk the streets of life as they normally would; while demons walk; hidden from the naked eye; down the very same streets. A seemingly young woman named Yurine and her servant; the Karas (from the Japanese word for ""Crow""); have long maintained order and balance between the overlapped worlds; ultimately keeping the demons from interrupting the lives of humans. However; humans have come to forget and jest at the existence of demons; and no longer understand the privilege it is to live without fear. Disgusted by this arrogance; an old Karas turns his back on the laws he had once upheld; and in his human form; named Eko; he creates an army of Mikura; or mechanized demons; to ready an attack on the human race.

A young man named Otoha inherits the powers of the Karas and takes his place at the side of Yurine; who claims that his soul called out for her while he lived the life of a human. They live in the world of the demons. It is now up to Otoha to prove himself as a Karas; and restore the balance that Eko threatens to upset.

Meanwhile; a superstitious police officer named Sagisaka and his rational new recruit; Kure; follow the trail of the murders dealt by Eko's Mikura; as well as the trail of a rogue Mikura named Nue. The prophecy unfolds from here into a grave revelation for all in the city.

 ",7.5,0.0
1505,"After robbing a Moscow casino right under Zenigata's nose; Lupin sets his sights on stealing the Trick Diamond. He and Jigen head to the estate of the recently deceased Mark Williams; another master thief who's had the diamond; as well as other treasures; in his possession for years. However; instead of finding the diamond; Lupin & Jigen find Fujiko; who tells them about Mark's dying wish - Lupin must return all the treasures the old thief stole to their rightful place. If this is done in time; the location of the diamond will be revealed; and Lupin can use it to get the real treasure; hidden in Gaudí's Sagrada Familia. Returning the stolen goods isn't easy though; as Zenigata and the casino boss' ruthless gang are on Lupin and friends' tail. 

 ",7.5,0.0
1519,"Kazuhiro Uchida is transferred to a rescue centre located in a small town while training to become a fighter pilot. Initially; Kazuhiro thinks negatively about his new occupation; due to the difficult missions and the harsh discipline he receives from his seniors. However; over the course of his training; he begins to accept the job for what it is and becomes a true member of the rescue force.

 ",7.5,0.0
1520,"Yu☆Gi☆Oh! 5D's; set in the not too distant future; is the sequel to Yu☆Gi☆Oh!: Duel Monsters GX. Following on from its predecessors; the show is centered on the Duel Monsters Card Game.

Neo Domino City; a newer; evolved city is the largest in the world; watched over by its Director; Rex Godwin. Satellite; the renamed old Domino City; is now the city's main waste disposal area and the inhabitants who live there; Satellites; live in poor conditions and are forbidden from Duelling.

Fudou Yuusei; the shows main protagonist; has built a D-Wheel (used for the new form of duelling; Riding Duels) in the hope that he can escape to Neo Domino City. Spurred on by revenge towards Jack Atlus; the King of Riding Duels; he manages to escape and duel Jack for his precious card; Stardust Dragon. However when it is summoned along with Jack's ace monster; Red Demons Dragon; a wondrous Crimson Dragon appears; along with a mysterious Birthmark on Yuusei's arm.

From here on; Yuusei and his friends are thrown into a world of Darkness; from which they must duel their way out and attempt to save the world from the destructive forces that soon appear.",7.5,0.0
1506,"In the year 2015; more than a decade has passed since the catastrophic event known as Second Impact befell mankind. During this time of recovery; a select few learned of beings known as the Angels—colossal malevolent entities with the intention of triggering the Third Impact and wiping out the rest of humanity.

Called into the city of Tokyo-3 by his father Gendou Ikari; teenager Shinji is thrust headlong into humanity's struggle. Separated from Gendou since the death of his mother; Shinji presumes that his father wishes to repair their shattered familial bonds; instead; he discovers that he was brought to pilot a giant machine capable of fighting the Angels; Evangelion Unit-01. Forced to battle against wave after wave of mankind's greatest threat; the young boy finds himself caught in the middle of a plan that could affect the future of humanity forever.

 ",7.5,0.0
1518,"Kazamatsuri Shou's dream has always been to become a professional soccer player; but he has one problem: he's not very good at the game. He was accepted to the prestigious Musashi no Mori Junior High; known for its top rate soccer team; but he was never able to rise beyond the rank of third stringer. After transferring to Sakura Jousui Junior High; he can finally play soccer. And; with the support of his new friends and teammates; his strong determination; and lots of hard work; his soccer skills are developing rapidly and setting Shou well on his way to achieving his dream.

 ",7.5,0.0
1517,The story follows a boy named Quon and others who suddenly wake up with supernatural powers.,7.5,0.0
1516,"The demonic space criminal Kain has escaped from prison and destroyed the Galaxy Police headquarters. To ensure that the Jurai will not stop him; Kain travels back to 1970 to eliminate Tenchi's mother before he is even born. Now; Tenchi and the gang must travel to the past to stop him before he ceases to exist. 

 ",7.5,0.0
1514,"To find a way in rescuing Pokota's country Taforashia which was sealed by Rezo; Lina and her group are in search for the Hellmaster's jar in what the Red Priest placed his soul after death. Zelgadis is willing to do anything to get the jar for changing back into a human while Zuuma is plotting on revenge and accomplishing assignment in killing Lina Inverse. Still a big mystery for her and the others is what Xellos is aiming for in this battle.

 ",7.5,0.0
1515,"Running late on her first day as a patrol woman for the Bokuto Police Department; spunky moped rider Natsumi Tsujimoto decides to take several shortcuts; only to be chased down and cited by mechanical genius and expert police driver Miyuki Kobayakawa. Upon arrival at the precinct; Natsumi finds out that her new partner is the same woman who ticketed her earlier. At first; she doesn't trust Miyuki; but in a short period of time; they develop an unbreakable friendship that overcomes traffic accidents; reckless drivers and even the strongest typhoons to hit Tokyo. 

 ",7.5,0.0
1512,"A special summary episode of the first season of Sayonara Zetsubou Sensei; focusing on seven of the girls: Komori Kiri; Matoi Tsunetsuki; Kobushi Abiru; Kimura Kaere; Kitsu Chiri; Sekiuchi ""Maria"" Tarou and Hitou Nami.

Note: This entry also includes the 24 minute version which aired on BS11.",7.5,0.0
1511,"Ranma and the gang are invited to a boating trip with Kuno. Unfortunately; a storm destroys the yacht and everyone is stranded on a remote island. The whole situation goes even more awry when one by one; the girls disappear without a trace. Ranma then finds out that the girls are abducted by Toma; ruler of the island; as part of his personal harem.

 ",7.5,0.0
1510,Original animated music video for SuperCell. ,7.5,0.0
1509,"A series of animations based on prize-winning short stories for women.

Kawamo wo Suberu Kaze (January 7; 2011)
In the story; 33-year-old Kanazawa native Noriko had decided long ago not to accept an ordinary; provincial life for herself. So; she had gone to college in Tokyo; worked on her own; married a man at an elite trading firm; and had a child. She has just returned home from five years abroad with her husband and four-year-old son. However; she senses a large emptiness in her heart since coming back. Moreover; there is a man who shares a big secret with Noriko.

Yuuge (March 10; 2013)
Mimi; a wife in her late 20s; leaves her family and begins living with a young man.

Jinsei Best 10 (March 17; 2013)
Hatoko; a business woman; faces her upcoming 40th birthday and reunites with the person with whom she shared her first kiss in middle school; over two decades ago.

Dokoka Dewanai Koko (March 24; 2013)
A 43-year-old housewife gets a glimpse of a complicated relationship between a mother and a daughter.

  ",7.5,0.0
1508,"Despite having seemingly quelled the war between their respective gangs; Raku Ichijou and Chitoge Kirisaki still carry on with their fake relationship. Eventually; as Chitoge's perception of Raku slowly changes; she even begins to see him as a little charming. 

Chitoge struggles to come to terms with her newfound feelings for Raku; as a new girl joins the slew of Raku's admirers and the competition among those vying for the yakuza heir's attention grows even fiercer. And amidst all this; Raku's search for his first love and the contents of the mysterious sealed locket continues in Nisekoi:; which picks up where the first season left off.

 ",7.5,0.0
